OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
76,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66409,66410,0392 34 0309,447463,,1/1/2023,1,HR,47,1986,
77,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66410,66411,0392 34 0313,451423,,1/1/2023,1,HR,47,1986,
78,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66411,66412,0392 34 0512,447201,,1/1/2023,1,HR,47,1986,
79,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66412,66413,0392 34 0518,446155,,1/1/2023,1,HR,47,1986,
80,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66413,66414,0392 34 0612,450504,,1/1/2023,1,HR,47,1986,
81,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66414,66415,0392 34 0716,455644,,1/1/2023,1,HR,47,1986,
82,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66415,66416,0392 34 0814,449148,,1/1/2023,1,HR,47,1986,
83,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66416,66417,0392 34 0913,448745,,1/1/2023,1,HR,47,1986,
84,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66417,66418,0392 34 0917,455622,,1/1/2023,1,HR,47,1986,
85,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66418,66419,0392 34 1008,453401,,1/1/2023,1,HR,47,1986,
86,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66419,66420,0392 34 1112,449723,,1/1/2023,1,HR,47,1986,
87,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66420,66421,0392 34 1211,453641,,1/1/2023,1,HR,47,1986,
88,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66421,66422,0392 34 1408,455604,,1/1/2023,1,HR,47,1986,
89,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,66422,66423,0392 34 1411,450743,,1/1/2023,1,HR,47,1986,
90,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67105,67106,0392 34 0210,449737,,1/1/2023,1,HR,47,1986,
91,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67106,67107,0392 34 0308,446411,,1/1/2023,1,HR,47,1986,
92,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67107,67108,0392 34 0411,452951,,1/1/2023,1,HR,47,1986,
93,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67108,67109,0392 34 0413,451883,,1/1/2023,1,HR,47,1986,
94,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67109,67110,0392 34 0414,444943,,1/1/2023,1,HR,47,1986,
95,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67110,67111,0392 34 0817,451757,,1/1/2023,1,HR,47,1986,
96,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67111,67112,0392 34 0901,455263,,1/1/2023,1,HR,47,1986,
97,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,67112,67113,0392 34 0911,392356,,1/1/2023,1,HR,47,1986,
