GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330806501,2020,806501,1551644,20268,Census Tract 8065.01,38.9592228,-76.9318346,1926,647,956,4,186,0,38,95,3390,379,31,177,3,5,2245,550,5316
G2400330806601,2020,806601,1041985,0,Census Tract 8066.01,38.9570351,-76.9138813,1298,156,956,4,56,0,44,82,3641,270,38,183,9,0,2704,437,4939
G2400330806602,2020,806602,1639718,0,Census Tract 8066.02,38.9665203,-76.9105793,3364,456,1721,7,911,0,36,233,2450,155,15,140,6,6,1745,383,5814
G2400330806706,2020,806706,6635706,6510,Census Tract 8067.06,38.9885501,-76.8990044,3189,677,1845,6,491,2,14,154,894,56,30,46,1,0,547,214,4083
G2400330806708,2020,806708,2553947,84668,Census Tract 8067.08,39.0029852,-76.8791652,3866,1851,1518,7,288,0,39,163,382,65,9,9,3,2,153,141,4248
G2400330806710,2020,806710,2296969,35460,Census Tract 8067.10,38.986222,-76.8729085,4830,597,3353,8,649,4,35,184,426,40,25,15,3,0,223,120,5256
G2400330806711,2020,806711,1459400,0,Census Tract 8067.11,38.9843628,-76.8582378,4005,382,3136,4,283,0,19,181,789,33,55,21,2,3,556,119,4794
G2400330806712,2020,806712,4379835,47519,Census Tract 8067.12,39.0010037,-76.8555957,2967,312,2248,4,217,0,34,152,333,44,27,6,0,1,167,88,3300
G2400330806713,2020,806713,952215,4180,Census Tract 8067.13,39.0013909,-76.9025767,2718,159,2322,10,93,2,19,113,1318,81,50,29,1,1,954,202,4036
G2400330806714,2020,806714,1738566,18656,Census Tract 8067.14,39.0046859,-76.910219,4018,411,2573,18,788,2,32,194,1631,120,45,46,5,3,1098,314,5649
G2400330806800,2020,806800,2369681,935,Census Tract 8068,38.9895238,-76.9129902,2806,1637,578,4,341,1,37,208,1377,114,19,68,1,0,843,332,4183
G2400330806900,2020,806900,1737075,0,Census Tract 8069,39.0128373,-76.9194234,2613,1363,531,12,462,3,26,216,1780,153,18,56,0,1,1179,373,4393
G2400330807000,2020,807000,3758138,147935,Census Tract 8070,38.9977381,-76.9282772,7657,3760,1606,19,1807,1,79,385,1562,179,20,10,11,4,863,475,9219
G2400330807102,2020,807102,3594575,57419,Census Tract 8071.02,38.9740059,-76.9265842,2028,1257,428,6,207,0,13,117,735,87,11,47,0,2,409,179,2763
