GISJOIN,YEAR,TRACTA,AREALAND,AREAWAT,ANPSADPI,INTPTLAT,INTPTLNG,Total_Not_Hispanic,White,Black,NA,Asian_PI,Other,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian_PI,Hispanic_Other,Total
G2400330802903,1990,802903,392,0,Tract 8029.03,38898300,-76908016,1406,38,1357,1,10,0,3,0,3,0,0,0,1409
G2400330803001,1990,803001,1216,0,Tract 8030.01,38902750,-76911939,2365,15,2346,3,1,0,17,0,12,0,0,5,2382
G2400330803002,1990,803002,904,0,Tract 8030.02,38902650,-76896365,2883,9,2865,5,4,0,33,0,8,0,0,25,2916
G24003308031,1990,8031,2244,0,Tract 8031,38909100,-76916466,2912,28,2869,2,9,4,23,1,18,0,0,4,2935
G24003308032,1990,8032,1571,0,Tract 8032,38918833,-76902114,3243,166,2991,10,68,8,33,0,17,2,4,10,3276
G24003308033,1990,8033,2807,0,Tract 8033,38916550,-76891224,4627,246,4355,3,21,2,64,10,22,0,0,32,4691
G2400330803401,1990,803401,500,0,Tract 8034.01,38921567,-76872900,1794,48,1734,5,4,3,5,0,5,0,0,0,1799
G2400330803402,1990,803402,1387,0,Tract 8034.02,38915900,-76873231,5194,89,5054,21,24,6,26,5,8,0,0,13,5220
G2400330803505,1990,803505,3839,0,Tract 8035.05,38887550,-76812598,5771,900,4697,12,148,14,107,30,35,1,7,34,5878
G2400330803506,1990,803506,7894,0,Tract 8035.06,38879500,-76830178,9307,1002,8142,31,124,8,168,28,75,2,19,44,9475
G2400330803507,1990,803507,8512,0,Tract 8035.07,38900762,-76869101,6711,141,6541,9,16,4,78,5,47,0,0,26,6789
G2400330803508,1990,803508,2190,0,Tract 8035.08,38925339,-76862890,3931,62,3848,4,17,0,22,2,18,0,0,2,3953
G2400330803509,1990,803509,2101,0,Tract 8035.09,38931150,-76881436,4839,75,4749,11,3,1,53,9,19,0,0,25,4892
G2400330803510,1990,803510,15549,0,Tract 8035.10,38936300,-76825048,6121,2219,3511,18,355,18,149,62,32,0,18,37,6270
G2400330803511,1990,803511,10142,142,Tract 8035.11,38908418,-76823845,4827,1078,3583,11,149,6,67,22,27,0,3,15,4894
G2400330803601,1990,803601,2311,0,Tract 8036.01,38939681,-76847720,2183,60,2095,8,19,1,29,4,12,0,1,12,2212
G2400330803602,1990,803602,3422,0,Tract 8036.02,38940033,-76865997,2094,24,2060,2,5,3,9,0,6,0,0,3,2103
G2400330803605,1990,803605,3075,0,Tract 8036.05,38968400,-76883463,5542,3744,1415,9,368,6,237,106,11,1,5,114,5779
G2400330803606,1990,803606,3368,0,Tract 8036.06,38972244,-76858946,4747,3327,988,16,412,4,144,69,16,4,22,33,4891
G2400330803607,1990,803607,2786,0,Tract 8036.07,38968624,-76835632,2271,1191,1032,6,40,2,42,25,3,3,1,10,2313
G2400330803608,1990,803608,5220,0,Tract 8036.08,38958250,-76846028,4961,1823,2958,12,167,1,158,83,24,0,5,46,5119
G2400330803609,1990,803609,1942,0,Tract 8036.09,38952515,-76877390,6563,1639,4517,15,383,9,304,97,62,3,7,135,6867
G2400330803610,1990,803610,1268,0,Tract 8036.10,38962450,-76879771,2786,1533,1052,10,189,2,79,40,6,0,0,33,2865
G2400330803611,1990,803611,971,0,Tract 8036.11,38958000,-76887499,1287,674,507,1,103,2,50,38,3,0,0,9,1337
G24003308037,1990,8037,1057,0,Tract 8037,38943000,-76887453,2124,1446,633,1,43,1,86,42,8,0,1,35,2210
G2400330803801,1990,803801,1203,0,Tract 8038.01,38944100,-76904330,2127,1006,1056,12,50,3,100,28,16,0,5,51,2227
G2400330803803,1990,803803,2251,0,Tract 8038.03,38954117,-76897299,5002,1953,2807,17,216,9,263,104,41,7,0,111,5265
G24003308039,1990,8039,821,0,Tract 8039,38949200,-76922283,3051,1476,1315,14,235,11,467,121,32,0,27,287,3518
G2400330804001,1990,804001,858,0,Tract 8040.01,38947600,-76913492,4330,634,3625,17,51,3,192,32,44,0,0,116,4522
G2400330804002,1990,804002,2072,126,Tract 8040.02,38941200,-76932926,3172,1600,1431,12,117,12,310,105,12,0,0,193,3482
G2400330804101,1990,804101,1410,0,Tract 8041.01,38927550,-76907543,2969,993,1866,4,94,12,125,48,17,0,8,52,3094
G2400330804102,1990,804102,2266,0,Tract 8041.02,38936150,-76901485,5268,1197,3967,16,77,11,172,44,60,1,11,56,5440
G24003308042,1990,8042,2406,0,Tract 8042,38925050,-76918246,3093,2455,570,3,61,4,101,62,15,1,0,23,3194
G24003308043,1990,8043,3498,96,Tract 8043,38925560,-76930462,3267,541,2671,11,41,3,146,20,20,0,3,103,3413
G24003308044,1990,8044,2548,79,Tract 8044,38929694,-76947267,2247,1098,1073,9,61,6,238,82,21,1,9,125,2485
G24003308046,1990,8046,1168,0,Tract 8046,38943217,-76955510,2642,1233,1297,16,90,6,346,152,37,0,7,150,2988
G24003308047,1990,8047,1091,0,Tract 8047,38940500,-76963105,3412,1790,1481,16,107,18,558,161,57,1,30,309,3970
G24003308048,1990,8048,644,0,Tract 8048,38946667,-76966812,4107,811,3144,8,143,1,306,131,54,1,11,109,4413
G24003308049,1990,8049,1327,11,Tract 8049,38950550,-76977355,3574,712,2771,17,66,8,172,41,46,2,15,68,3746
G24003308050,1990,8050,1919,0,Tract 8050,38959900,-76984389,4679,646,3954,4,63,12,208,57,81,0,4,66,4887
G2400330805101,1990,805101,1193,49,Tract 8051.01,38960200,-76974819,2736,673,1879,19,156,9,684,175,62,2,13,432,3420
G2400330805102,1990,805102,307,35,Tract 8051.02,38952200,-76959121,801,342,422,1,36,0,50,10,5,0,9,26,851
