FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
40840,40841,0262 09020030,547951, ,2023-01-01,1,TH,031,1977, ,676,0.004613079,
50090,50091,0262 097A0005,556736, ,2023-01-01,1,SF,011,1977, ,676,0.004614635,
48066,48067,0262 09020028,547936, ,2023-01-01,1,TH,031,1977, ,676,0.004620467,
29154,29155,0174 17020060,547911, ,2023-01-01,1,TH,031,1976, ,676,0.004626717,
50900,50901,0262 09020026,547909, ,2023-01-01,1,TH,031,1977, ,676,0.004637468,
33482,33483,0262 09020027,546673, ,2023-01-01,1,TH,031,1977, ,676,0.004640205,
34893,34894,0174 17020059,547958, ,2023-01-01,1,TH,031,1976, ,676,0.004678163,
48023,48024,0174 39010051,575294, ,2023-01-01,1,TH,031,2022, ,676,0.004692467,
45556,45557,0262 096A0001,556709, ,2023-01-01,1,SF,011,2007, ,676,0.004700143,
73523,73524,0262 097A0011,556748, ,2023-01-01,1,SF,011,1977, ,676,0.004709319,
48024,48025,0174 39010052,575295, ,2023-01-01,1,TH,031,2022, ,676,0.004712587,
73738,73739,0174 39010050,575293, ,2023-01-01,1,TH,031,2022, ,676,0.004715275,
14866,14867,0174 39010053,575296, ,2023-01-01,1,TH,031,2022, ,676,0.004732748,
37740,37741,0262 09140014,206428, ,2023-01-01,1,SF,011,1979, ,676,0.004739725,
17917,17918,0174 39010054,575297, ,2023-01-01,1,TH,031,2022, ,676,0.00475327,
73522,73523,0262 097A0004,556719, ,2023-01-01,1,SF,011,1977, ,676,0.004755045,
33638,33639,0174 17020058,547927, ,2023-01-01,1,TH,031,1976, ,676,0.004766052,
20749,20750,0174 39010055,575298, ,2023-01-01,1,TH,031,2022, ,676,0.00477899,
40553,40554,0294 12070109,446263, ,2023-01-01,1,LR,041,1997, ,658,0.004804293,
37741,37742,0262 096A0002,556720, ,2023-01-01,1,SF,011,1977, ,676,0.004808621,
37738,37739,0262 09020031,547917, ,2023-01-01,1,TH,031,1977, ,676,0.004839712,
14865,14866,0174 39010049,575292, ,2023-01-01,1,TH,031,2022, ,676,0.004861028,
42552,42553,0262 09140007,546658, ,2023-01-01,1,SF,011,1979, ,676,0.004862712,
45112,45113,0262 09140008,546663, ,2023-01-01,1,SF,011,1978, ,676,0.004869789,
42554,42555,0262 097A0003,556742, ,2023-01-01,1,SF,011,1977, ,676,0.004887233,
48070,48071,0262 09140010,152258, ,2023-01-01,1,SF,011,1979, ,676,0.004889101,
62680,62681,0293 12  0001,177242, ,2023-01-01,1,TH,031,1974, ,656,0.004901899,
60238,60239,0293 12  0002,495801, ,2023-01-01,1,TH,031,1974, ,656,0.004912125,
48067,48068,0262 09020032,547946, ,2023-01-01,1,TH,031,1977, ,676,0.004917315,
55725,55726,0293 12  0003,497916, ,2023-01-01,1,TH,031,1974, ,656,0.004921092,
33485,33486,0262 097A0002,556716, ,2023-01-01,1,SF,011,1977, ,676,0.004925811,
77057,77058,0293 12  0004,496611, ,2023-01-01,1,TH,031,1974, ,656,0.004931525,
50089,50090,0262 096A0003,556732, ,2023-01-01,1,SF,011,1977, ,676,0.004931981,
19255,19256,0174 39010048,575035, ,2023-01-01,1,TH,031,2022, ,676,0.004936123,
62681,62682,0293 12  0005,221122, ,2023-01-01,1,TH,031,1974, ,656,0.004941969,
16721,16722,0174 39010056,575299, ,2023-01-01,1,TH,031,2022, ,676,0.004947837,
38642,38643,0294 12060104,488410, ,2023-01-01,1,LR,041,1997, ,658,0.004952295,
37863,37864,0293 12  0006,372783, ,2023-01-01,1,TH,031,1974, ,656,0.00495309,
47335,47336,0293 12  0007,369011, ,2023-01-01,1,TH,031,1974, ,656,0.00496535,
55894,55895,0293 12  0008,220669, ,2023-01-01,1,TH,031,1974, ,656,0.004977781,
37569,37570,0174 17020057,547972, ,2023-01-01,1,TH,031,1976, ,676,0.004981357,
48072,48073,0262 096A0004,556740, ,2023-01-01,1,SF,011,1977, ,676,0.004985861,
42548,42549,0262 09020033,546666, ,2023-01-01,1,TH,031,1976, ,676,0.004986801,
53080,53081,0262 097A0001,556721, ,2023-01-01,1,SF,011,1978, ,676,0.004991116,
77058,77059,0293 12  0009,395549, ,2023-01-01,1,TH,031,1974, ,656,0.004992077,
17916,17917,0174 39010047,575034, ,2023-01-01,1,TH,031,2022, ,676,0.005002282,
40847,40848,0262 09140017,545995, ,2023-01-01,1,SF,011,1979, ,676,0.005003393,
48316,48317,0262 09140009,547924, ,2023-01-01,1,SF,011,1979, ,676,0.005010358,
15314,15315,0174 39010057,575300, ,2023-01-01,1,TH,031,2022, ,676,0.005012259,
67769,67770,0293 12  0010,555928, ,2023-01-01,1,TH,031,1974, ,656,0.005024104,
57393,57394,0262 096A0005,556737, ,2023-01-01,1,SF,011,1977, ,676,0.005051345,
10609,10610,0174 17020056,547928, ,2023-01-01,1,TH,031,1976, ,676,0.00505241,
33483,33484,0262 09020034,547959, ,2023-01-01,1,TH,031,1976, ,676,0.005056296,
13284,13285,0174 39010046,575033, ,2023-01-01,1,TH,031,2022, ,676,0.005061871,
57612,57613,0174 39010058,575301, ,2023-01-01,1,TH,031,2022, ,676,0.005064715,
60239,60240,0293 12  0011,555926, ,2023-01-01,1,TH,031,1974, ,656,0.005067968,
47678,47679,0293 12  0012,555929, ,2023-01-01,1,TH,031,1974, ,656,0.005085773,
47679,47680,0293 12  0013,495055, ,2023-01-01,1,TH,031,1974, ,656,0.005102548,
24293,24294,0174 39010045,575032, ,2023-01-01,1,TH,031,2022, ,676,0.005114874,
73518,73519,0262 09020055,547915, ,2023-01-01,1,TH,031,1976, ,676,0.005115635,
16722,16723,0174 39010059,575302, ,2023-01-01,1,TH,031,2022, ,676,0.005117214,
67991,67992,0293 12  0014,339910, ,2023-01-01,1,TH,031,1974, ,656,0.005121259,
31939,31940,0262 09020035,546671, ,2023-01-01,1,TH,031,1976, ,676,0.005126229,
60240,60241,0293 12  0015,243115, ,2023-01-01,1,TH,031,1974, ,656,0.005139812,
59145,59146,0262 09140015,547971, ,2023-01-01,1,SF,011,1979, ,676,0.005142157,
17131,17132,0174 39010039A,578106, ,2023-01-01,1,TH,031,2022, ,676,0.005154763,
60687,60688,0293 12  0016,555930, ,2023-01-01,1,TH,031,1974, ,656,0.005162732,
42553,42554,0262 096A0006,556714, ,2023-01-01,1,SF,011,1977, ,676,0.005167026,
13283,13284,0174 39010044,575031, ,2023-01-01,1,TH,031,2022, ,676,0.005167907,
57613,57614,0174 39010060,575303, ,2023-01-01,1,TH,031,2022, ,676,0.005169754,
20748,20749,0174 39010040A,578107, ,2023-01-01,1,TH,031,2022, ,676,0.005174725,
55726,55727,0293 12  0017,399541, ,2023-01-01,1,TH,031,1974, ,656,0.005177143,
57388,57389,0262 09020054,546669, ,2023-01-01,1,TH,031,1976, ,676,0.005178947,
59806,59807,0293 12  0018,414503, ,2023-01-01,1,TH,031,1974, ,656,0.005193851,
13282,13283,0174 39010041,578108, ,2023-01-01,1,TH,031,2022, ,676,0.005194964,
38129,38130,0262 09020036,547910, ,2023-01-01,1,TH,031,1976, ,676,0.005204338,
62682,62683,0293 12  0019,513264, ,2023-01-01,1,TH,031,1974, ,656,0.005211959,
2290,2291,0174 39010043,578110, ,2023-01-01,1,TH,031,2022, ,676,0.005221132,
35163,35164,0174 39010061,575304, ,2023-01-01,1,TH,031,2022, ,676,0.005222333,
50992,50993,0262 096A0007,556734, ,2023-01-01,1,SF,011,1977, ,676,0.005228925,
55727,55728,0293 12  0020,513263, ,2023-01-01,1,TH,031,1974, ,656,0.005236972,
40844,40845,0262 09020053,547916, ,2023-01-01,1,TH,031,1976, ,676,0.005242346,
40846,40847,0262 09140016,545992, ,2023-01-01,1,SF,011,1978, ,676,0.005255878,
33400,33401,0294 04090212,445844, ,2023-01-01,1,LR,041,1974, ,658,0.005267946,
6140,6141,0174 39010042A,578109, ,2023-01-01,1,TH,031,2022, ,676,0.005271768,
13285,13286,0174 39010062,575305, ,2023-01-01,1,TH,031,2022, ,676,0.005274951,
73521,73522,0262 096A0008,556713, ,2023-01-01,1,SF,011,1977, ,676,0.005281825,
55895,55896,0293 12  0021,217592, ,2023-01-01,1,TH,031,1974, ,656,0.005299603,
31944,31945,0262 09140019,276025, ,2023-01-01,1,SF,011,1979, ,676,0.005303134,
45555,45556,0262 09140018,545987, ,2023-01-01,1,SF,011,1979, ,676,0.005312129,
50901,50902,0262 09020052,546657, ,2023-01-01,1,TH,031,1976, ,676,0.005314035,
57614,57615,0174 39010063,575306, ,2023-01-01,1,TH,031,2022, ,676,0.005327605,
38130,38131,0262 09020037,546655, ,2023-01-01,1,TH,031,1977, ,676,0.005356889,
60688,60689,0293 12  0022,263689, ,2023-01-01,1,TH,031,1974, ,656,0.005364308,
13281,13282,0174 39010038,575017, ,2023-01-01,1,TH,031,2022, ,676,0.005373285,
42550,42551,0262 09020051,547970, ,2023-01-01,1,TH,031,1976, ,676,0.005385469,
14864,14865,0174 39010037,575018, ,2023-01-01,1,TH,031,2022, ,676,0.005393212,
35164,35165,0174 39010064,575307, ,2023-01-01,1,TH,031,2022, ,676,0.005395844,
20172,20173,0174 39010036,578104, ,2023-01-01,1,TH,031,2022, ,676,0.005412552,
60241,60242,0293 12  0023,496331, ,2023-01-01,1,TH,031,1974, ,656,0.005415846,
