GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330803602,2010,803602,3440521,0,Census Tract 8036.02,38.9418891,-76.8672198,1685,13,1638,6,2,0,3,23,181,64,16,0,0,0,100,1,1866
G2400330803605,2010,803605,3107284,0,Census Tract 8036.05,38.9692877,-76.8834488,4236,844,3008,5,263,3,36,77,2527,606,113,53,0,0,1617,138,6763
G2400330803606,2010,803606,3318709,0,Census Tract 8036.06,38.9724135,-76.8587378,4037,919,2651,5,341,7,18,96,1463,457,54,14,0,1,863,74,5500
G2400330803607,2010,803607,2739945,3624,Census Tract 8036.07,38.9655015,-76.8352814,2762,385,2195,13,96,1,10,62,643,153,22,9,0,1,416,42,3405
G2400330803608,2010,803608,5180286,45636,Census Tract 8036.08,38.9550748,-76.8506263,4234,371,3624,2,159,4,9,65,1542,434,49,16,0,0,986,57,5776
G2400330803610,2010,803610,1280307,0,Census Tract 8036.10,38.963007,-76.8800488,2315,356,1740,4,177,0,5,33,968,162,34,13,2,0,712,45,3283
G2400330803612,2010,803612,1532463,1897,Census Tract 8036.12,38.9506767,-76.8757327,2519,179,2135,14,88,2,13,88,625,146,37,10,0,0,382,50,3144
G2400330803613,2010,803613,1605276,0,Census Tract 8036.13,38.9583301,-76.88559,4095,308,3545,3,160,6,8,65,979,214,45,12,0,0,637,71,5074
G2400330803700,2010,803700,919954,0,Census Tract 8037,38.9434229,-76.888182,1455,323,1012,13,42,0,12,53,1090,303,43,34,3,1,648,58,2545
G2400330803801,2010,803801,1247432,0,Census Tract 8038.01,38.945763,-76.9052735,1380,200,1102,7,31,2,11,27,1229,499,41,23,1,0,614,51,2609
G2400330803803,2010,803803,2096005,6299,Census Tract 8038.03,38.9548118,-76.8973349,3030,343,2490,30,79,5,13,70,1973,498,68,39,12,2,1236,118,5003
